frame_number static_density dynamic_density
1 0.0700997 0.0987319
6 0.0738311 0.0971761
11 0.0883802 0.0470302
16 0.0944048 0.0631553
21 0.0983915 0.0651284
26 0.104991 0.0710558
31 0.110684 0.0722834
36 0.113224 0.0880844
41 0.115323 0.0886435
46 0.117381 0.100458
51 0.11899 0.088992
56 0.129507 0.076023
61 0.135078 0.0263755
66 0.127943 0.0323434
71 0.12108 0.0133377
76 0.125885 0.0227575
81 0.134641 0.0311604
86 0.153744 0.0637955
91 0.173543 0.0704805
96 0.182919 0.0844786
101 0.185621 0.0890163
106 0.179102 0.0857994
111 0.18396 0.0899927
116 0.194899 0.0991573
121 0.197354 0.127834
126 0.199433 0.126246
131 0.203403 0.133397
136 0.210554 0.146811
141 0.216887 0.153464
146 0.217511 0.160481
151 0.215347 0.133996
156 0.211174 0.140872
161 0.205956 0.13819
166 0.202224 0.134884
171 0.199907 0.126068
176 0.198456 0.117158
181 0.197982 0.11098
186 0.197302 0.092298
191 0.19639 0.0882951
196 0.196346 0.0517543
201 0.196086 0.0293655
206 0.196641 0.0241107
211 0.196637 0.0294263
216 0.19588 0.0329592
221 0.197865 0.0691111
226 0.197022 0.0261527
231 0.197046 0.0245685
236 0.198246 0.0286565
241 0.195713 0.0262458
246 0.195073 0.0202901
251 0.19464 0.018556
256 0.194312 0.0155457
261 0.194644 0.0120979
266 0.194356 0.0242201
271 0.192991 0.0542055
276 0.194753 0.0238311
281 0.203351 0.0203995
286 0.213273 0.0279434
291 0.211466 0.0440605
296 0.206 0.0290941
301 0.199955 0.0440848
306 0.19752 0.0318248
311 0.198537 0.0425735
316 0.197059 0.0356535
321 0.195454 0.094887
326 0.196034 0.0691111
331 0.196216 0.0572887
336 0.196098 0.0291711
341 0.197719 0.0187384
346 0.201564 0.0237136
351 0.201536 0.0246293
356 0.201183 0.0253626
361 0.200912 0.0217973
366 0.200041 0.017685
371 0.197695 0.0206912
376 0.197107 0.0163844
381 0.196589 0.0152095
386 0.202127 0.0222997
391 0.2072 0.0495462
396 0.211871 0.0613727
401 0.213706 0.0565189
406 0.221554 0.0568552
411 0.237392 0.0504173
416 0.258415 0.0927153
421 0.271668 0.136431
426 0.291553 0.138003
431 0.310429 0.177595
436 0.327145 0.233741
441 0.332939 0.254752
446 0.341281 0.260708
451 0.351613 0.277846
456 0.359262 0.279868
461 0.365967 0.281331
466 0.367434 0.284795
471 0.370691 0.298367
476 0.369439 0.291946
481 0.369168 0.285714
486 0.370667 0.273329
491 0.371218 0.273118
496 0.371951 0.256908
501 0.377858 0.0121749
506 0.397431 0.0418443
511 0.414987 0.058176
516 0.424787 0.0833887
521 0.447059 0.0806215
526 0.461134 0.0739203
531 0.468921 0.0789725
536 0.473061 0.0876995
541 0.477761 0.103079
546 0.479511 0.1085
551 0.474625 0.106896
556 0.473426 0.10517
561 0.47078 0.108022
566 0.465124 0.240892
571 0.466842 0.0941698
576 0.472555 0.0266794
581 0.481805 0.0430557
586 0.4896 0.0416133
591 0.498489 0.0592375
596 0.524629 0.0807187
601 0.544166 0.0739486
606 0.555814 0.0762337
611 0.581578 0.0817033
616 0.591715 0.098189
621 0.607536 0.123742
626 0.610129 0.111668
631 0.615149 0.116109
636 0.618001 0.12315
641 0.61858 0.0723321
646 0.618232 0.0961348
651 0.620505 0.0575359
656 0.622028 0.0569119
661 0.623418 0.0783324
666 0.625318 0.0871931
671 0.624666 0.101929
676 0.626238 0.0951544
681 0.628977 0.107204
686 0.630172 0.105324
691 0.629738 0.109116
696 0.633745 0.170792
701 0.633822 0.131748
706 0.6349 0.0853456
711 0.637092 0.109886
716 0.639182 0.0760028
721 0.642711 0.148914
726 0.643817 0.122397
731 0.64357 0.0948262
736 0.645292 0.115444
741 0.647423 0.0117089
746 0.651868 0.163451
751 0.653561 0.0108014
756 0.654643 0.0873876
761 0.655599 0.0483146
766 0.65664 0.0326068
771 0.662993 0.0583583
776 0.663066 0.108788
781 0.662037 0.02909
786 0.661336 0.0169354
791 0.662021 0.0133255
796 0.657362 0.0178875
801 0.655068 0.0223888
806 0.652338 0.0317681
811 0.653675 0.0547484
816 0.667073 0.0637347
821 0.69592 0.118917
826 0.739033 0.0457499
831 0.757058 0.0305729
836 0.760696 0.0255611
841 0.763317 0.0260554
846 0.775488 0.0933879
851 0.776586 0.0258123
856 0.775444 0.0391054
861 0.77576 0.0255125
866 0.773714 0.0509075
871 0.777636 0.0736529
876 0.778183 0.039782
881 0.779726 0.0409732
886 0.779511 0.0308119
891 0.778977 0.0298112
896 0.772701 0.0183616
901 0.772429 0.0182765
906 0.767535 0.101369
911 0.76653 0.0188356
916 0.77029 0.0136294
921 0.770792 0.0191678
926 0.771044 0.00648246
931 0.771899 0.119302
936 0.77185 0.0180253
941 0.770902 0.0169354
946 0.767102 0.0231707
951 0.766607 0.029406
956 0.779714 0.0703266
